episode_id,scenario_type,priority_hint,chosen_vendor_id,chosen_vendor_name,is_doordash_choice,parse_ok,feasible_choice,est_subtotal_usd,rationale,factors_json,tokens_in,tokens_out,latency_ms,error,raw_output
episode_001,dominated,fast,ep001_vendor_054,FeastHub054,False,True,True,25.64,"Priority 'fast': lowest ETA 23 min. Among 23-min vendors, FeastHub054 has lowest cost ($29.19) and solid reliability (76.97).","[""eta_min"", ""required_total_usd"", ""reliability_score""]",0,0,0,,"{""chosen_vendor_id"": ""ep001_vendor_054"", ""chosen_items"": [""chicken_sandwich"", ""fettuccine_alfredo""], ""reasoning"": ""Priority 'fast': lowest ETA 23 min. Among 23-min vendors, FeastHub054 has lowest cost ($29.19) and solid reliability (76.97)."", ""factors"": [""eta_min"", ""required_total_usd"", ""reliability_score""]}"
episode_002,dominated,rating,ep002_vendor_047,DashBite047,False,True,True,33.24,"Priority 'rating': DashBite047 has highest rating (4.86) and strong reliability (85.78), lowest cancel rate (3.8%).","[""rating"", ""reliability_score"", ""cancel_rate_pct""]",0,0,0,,"{""chosen_vendor_id"": ""ep002_vendor_047"", ""chosen_items"": [""pepperoni_pizza"", ""quesadilla""], ""reasoning"": ""Priority 'rating': DashBite047 has highest rating (4.86) and strong reliability (85.78), lowest cancel rate (3.8%)."", ""factors"": [""rating"", ""reliability_score"", ""cancel_rate_pct""]}"
episode_003,near_tie,value,ep003_vendor_087,DashHub087,False,True,True,36.24,Priority 'value': DashHub087 has lowest total cost ($39.78) with good reliability (82.77) and ETA (26 min).,"[""required_total_usd"", ""eta_min"", ""reliability_score""]",0,0,0,,"{""chosen_vendor_id"": ""ep003_vendor_087"", ""chosen_items"": [""cheeseburger"", ""margherita_pizza""], ""reasoning"": ""Priority 'value': DashHub087 has lowest total cost ($39.78) with good reliability (82.77) and ETA (26 min)."", ""factors"": [""required_total_usd"", ""eta_min"", ""reliability_score""]}"
episode_004,near_tie,balanced,ep004_vendor_077,QuickFleet077,False,True,True,32.93,"Priority 'balanced': QuickFleet077 offers best overall balance—exceptional reliability (92.71), on_time (96.78%), low cancel (3.47%), rating 4.78, reasonable cost ($38.82) and ETA (31 min).","[""reliability_score"", ""on_time_rate_pct"", ""cancel_rate_pct"", ""rating"", ""required_total_usd"", ""eta_min""]",0,0,0,,"{""chosen_vendor_id"": ""ep004_vendor_077"", ""chosen_items"": [""spaghetti_bolognese"", ""garlic_naan"", ""chicken_tikka""], ""reasoning"": ""Priority 'balanced': QuickFleet077 offers best overall balance—exceptional reliability (92.71), on_time (96.78%), low cancel (3.47%), rating 4.78, reasonable cost ($38.82) and ETA (31 min)."", ""factors"": [""reliability_score"", ""on_time_rate_pct"", ""cancel_rate_pct"", ""rating"", ""required_total_usd"", ""eta_min""]}"
episode_005,exact_tie,balanced,ep005_vendor_069,RocketRunner069,False,True,True,53.26,"Priority 'balanced': RocketRunner069 has lowest cost ($57.30) with strong reliability (81.48), low cancel (5.34%), and solid on_time (86.12%).","[""required_total_usd"", ""reliability_score"", ""cancel_rate_pct"", ""on_time_rate_pct""]",0,0,0,,"{""chosen_vendor_id"": ""ep005_vendor_069"", ""chosen_items"": [""spaghetti_bolognese"", ""green_curry""], ""reasoning"": ""Priority 'balanced': RocketRunner069 has lowest cost ($57.30) with strong reliability (81.48), low cancel (5.34%), and solid on_time (86.12%)."", ""factors"": [""required_total_usd"", ""reliability_score"", ""cancel_rate_pct"", ""on_time_rate_pct""]}"
episode_006,exact_tie,balanced,ep006_vendor_086,RocketFleet086,False,True,True,18.98,"Balanced priority: ep006_vendor_086 has best reliability_score (92.76), lowest cancel_rate (1.33%), on_time 93.06%, with reasonable cost ($24.84) and ETA (32 min). Strong balance across all factors.","[""reliability_score"", ""cancel_rate_pct"", ""on_time_rate_pct"", ""total_cost"", ""eta_min""]",0,0,0,,"{""chosen_vendor_id"": ""ep006_vendor_086"", ""chosen_items"": [""fries"", ""pepperoni_pizza""], ""reasoning"": ""Balanced priority: ep006_vendor_086 has best reliability_score (92.76), lowest cancel_rate (1.33%), on_time 93.06%, with reasonable cost ($24.84) and ETA (32 min). Strong balance across all factors."", ""factors"": [""reliability_score"", ""cancel_rate_pct"", ""on_time_rate_pct"", ""total_cost"", ""eta_min""]}"
episode_007,exact_tie,rating,ep007_vendor_093,SwiftMeals093,False,True,True,30.99,Rating priority: ep007_vendor_093 has highest rating (4.89) among all vendors. Reliability_score 82.19 and on_time_rate 86.63% are solid. Chosen strictly by metrics.,"[""rating"", ""reliability_score"", ""on_time_rate_pct""]",0,0,0,,"{""chosen_vendor_id"": ""ep007_vendor_093"", ""chosen_items"": [""chicken_tikka"", ""spaghetti_bolognese""], ""reasoning"": ""Rating priority: ep007_vendor_093 has highest rating (4.89) among all vendors. Reliability_score 82.19 and on_time_rate 86.63% are solid. Chosen strictly by metrics."", ""factors"": [""rating"", ""reliability_score"", ""on_time_rate_pct""]}"
episode_008,exact_tie,balanced,ep008_vendor_092,QuickLane092,False,True,True,31.89,"Balanced priority: ep008_vendor_092 offers strong balance: cost $35.31, ETA 33 min, rating 4.84, reliability_score 86.34, cancel 4.88%, on_time 89.5%. Good value without sacrificing quality.","[""total_cost"", ""eta_min"", ""rating"", ""reliability_score"", ""on_time_rate_pct""]",0,0,0,,"{""chosen_vendor_id"": ""ep008_vendor_092"", ""chosen_items"": [""garlic_naan"", ""drunken_noodles""], ""reasoning"": ""Balanced priority: ep008_vendor_092 offers strong balance: cost $35.31, ETA 33 min, rating 4.84, reliability_score 86.34, cancel 4.88%, on_time 89.5%. Good value without sacrificing quality."", ""factors"": [""total_cost"", ""eta_min"", ""rating"", ""reliability_score"", ""on_time_rate_pct""]}"
episode_009,exact_tie,fast,ep009_vendor_091,FeastFleet091,False,True,True,18.25,Fast priority: ep009_vendor_091 has lowest ETA (24 min) among all vendors. Break tie with cost ($25.01) and reliability (75.68). Chosen for speed.,"[""eta_min"", ""total_cost"", ""reliability_score""]",0,0,0,,"{""chosen_vendor_id"": ""ep009_vendor_091"", ""chosen_items"": [""garlic_naan"", ""quesadilla""], ""reasoning"": ""Fast priority: ep009_vendor_091 has lowest ETA (24 min) among all vendors. Break tie with cost ($25.01) and reliability (75.68). Chosen for speed."", ""factors"": [""eta_min"", ""total_cost"", ""reliability_score""]}"
episode_010,exact_tie,fast,ep010_vendor_094,RocketDrop094,False,True,True,20.94,"Fast priority: ep010_vendor_094 has lowest ETA (24 min). Among eta=24 vendors, has lowest cost ($23.72) and strong reliability (83.28). Chosen for speed with cost tiebreak.","[""eta_min"", ""total_cost"", ""reliability_score""]",0,0,0,,"{""chosen_vendor_id"": ""ep010_vendor_094"", ""chosen_items"": [""chicken_sandwich"", ""nachos""], ""reasoning"": ""Fast priority: ep010_vendor_094 has lowest ETA (24 min). Among eta=24 vendors, has lowest cost ($23.72) and strong reliability (83.28). Chosen for speed with cost tiebreak."", ""factors"": [""eta_min"", ""total_cost"", ""reliability_score""]}"
