episode_id,scenario_type,priority_hint,chosen_vendor_id,chosen_vendor_name,is_doordash_choice,parse_ok,feasible_choice,est_subtotal_usd,rationale,factors_json,tokens_in,tokens_out,latency_ms,error,raw_output
episode_001,dominated,value,ep001_vendor_001,NoshNow001,False,True,True,16.1,Best value overall: lowest required total by a wide margin with solid rating and reasonable ETA plus low fees.,"[""lowest required_total_usd ($18.73)"", ""good eta_min (24)"", ""strong rating (4.4)"", ""low delivery fee ($2.15)"", ""low service fee (3.0%)""]",0,0,0,,"{""chosen_vendor_id"":""ep001_vendor_001"",""chosen_items"":[""margherita_pizza"",""spring_rolls""],""reasoning"":""Best value overall: lowest required total by a wide margin with solid rating and reasonable ETA plus low fees."",""factors"":[""lowest required_total_usd ($18.73)"",""good eta_min (24)"",""strong rating (4.4)"",""low delivery fee ($2.15)"",""low service fee (3.0%)""]}"
episode_002,dominated,fast,ep002_vendor_058,DashHub058,False,True,True,21.14,Priority is fastest delivery; this vendor ties for best ETA (15 min) while offering much higher rating and lower total cost than the other 15-minute option.,"[""lowest ETA (15 min)"", ""high rating (4.81)"", ""lower required_total_usd (26.59) at same ETA"", ""lower delivery fee than peer fast option""]",0,0,0,,"{""chosen_vendor_id"":""ep002_vendor_058"",""chosen_items"":[""chicken_sandwich"",""quesadilla""],""reasoning"":""Priority is fastest delivery; this vendor ties for best ETA (15 min) while offering much higher rating and lower total cost than the other 15-minute option."",""factors"":[""lowest ETA (15 min)"",""high rating (4.81)"",""lower required_total_usd (26.59) at same ETA"",""lower delivery fee than peer fast option""]}"
episode_003,dominated,balanced,ep003_vendor_001,GoRunner001,False,True,True,43.99,"Best balanced option across price, speed, quality, and fees.","[""Low required_total_usd (46.38)"", ""Fast eta_min (27)"", ""High rating (4.51)"", ""Low delivery fee (1.66) and service fee (1.65%)""]",0,0,0,,"{""chosen_vendor_id"":""ep003_vendor_001"",""chosen_items"":[""quesadilla"",""spaghetti_bolognese"",""cheeseburger""],""reasoning"":""Best balanced option across price, speed, quality, and fees."",""factors"":[""Low required_total_usd (46.38)"",""Fast eta_min (27)"",""High rating (4.51)"",""Low delivery fee (1.66) and service fee (1.65%)""]}"
episode_004,dominated,fast,ep004_vendor_086,QuickMeals086,False,True,True,22.92,Best speed-focused choice: near-fastest ETA (16 min) with top rating and low total/fees versus other similarly fast options.,"[""ETA 16 min aligns with fast priority"", ""Rating 4.88 is highest among fast contenders"", ""Required total $27.11 beats most similarly fast offers"", ""Low delivery fee $1.88 keeps fees reasonable""]",0,0,0,,"{""chosen_vendor_id"":""ep004_vendor_086"",""chosen_items"":[""margherita_pizza"",""nachos""],""reasoning"":""Best speed-focused choice: near-fastest ETA (16 min) with top rating and low total/fees versus other similarly fast options."",""factors"":[""ETA 16 min aligns with fast priority"",""Rating 4.88 is highest among fast contenders"",""Required total $27.11 beats most similarly fast offers"",""Low delivery fee $1.88 keeps fees reasonable""]}"
episode_005,dominated,balanced,ep005_vendor_001,SwiftHub001,False,True,True,23.52,"Best balanced choice by combining the lowest total cost with a fast ETA, top rating, and low fees.","[""lowest required_total_usd ($25.85)"", ""fast eta_min (24)"", ""highest rating (4.89)"", ""low delivery fee ($0.99)"", ""low service fee (5.71%)""]",0,0,0,,"{""chosen_vendor_id"":""ep005_vendor_001"",""chosen_items"":[""cheeseburger"",""quesadilla"",""chana_masala""],""reasoning"":""Best balanced choice by combining the lowest total cost with a fast ETA, top rating, and low fees."",""factors"":[""lowest required_total_usd ($25.85)"",""fast eta_min (24)"",""highest rating (4.89)"",""low delivery fee ($0.99)"",""low service fee (5.71%)""]}"
episode_006,dominated,fast,ep006_vendor_023,DashCart023,False,True,True,21.0,"Speed is the top priority, and this vendor is tied for the fastest ETA while keeping total cost and fees lower than the other 15-minute option.","[""fastest ETA tier (15 min)"", ""lower required_total_usd ($27.02) vs the other 15-min offer"", ""lower delivery fee ($5.01)"", ""much lower service fee (4.81%)"", ""includes all required items""]",0,0,0,,"{""chosen_vendor_id"":""ep006_vendor_023"",""chosen_items"":[""fries"",""pepperoni_pizza""],""reasoning"":""Speed is the top priority, and this vendor is tied for the fastest ETA while keeping total cost and fees lower than the other 15-minute option."",""factors"":[""fastest ETA tier (15 min)"",""lower required_total_usd ($27.02) vs the other 15-min offer"",""lower delivery fee ($5.01)"",""much lower service fee (4.81%)"",""includes all required items""]}"
episode_007,dominated,value,ep007_vendor_001,BlinkCart001,False,True,True,21.49,"Best value choice: lowest required total while still offering fast delivery, excellent rating, and low fees.","[""Lowest required total among offers at $23.58"", ""Fast ETA at 21 minutes"", ""High rating of 4.86"", ""Low delivery fee ($1.78) and very low service fee (1.46%)""]",0,0,0,,"{
  ""chosen_vendor_id"": ""ep007_vendor_001"",
  ""chosen_items"": [
    ""chana_masala"",
    ""spaghetti_bolognese""
  ],
  ""reasoning"": ""Best value choice: lowest required total while still offering fast delivery, excellent rating, and low fees."",
  ""factors"": [
    ""Lowest required total among offers at $23.58"",
    ""Fast ETA at 21 minutes"",
    ""High rating of 4.86"",
    ""Low delivery fee ($1.78) and very low service fee (1.46%)""
  ]
}"
episode_008,dominated,fast,ep008_vendor_020,GoExpress020,False,True,True,37.53,"Priority is speed, and ep008_vendor_020 is tied for the fastest ETA at 15 minutes while also having a higher rating, lower required total, and lower fees than the other 15-minute offer.","[""priority_hint"", ""required_total_usd"", ""eta_min"", ""rating"", ""delivery_fee_usd"", ""service_fee_pct""]",0,0,0,,"{
  ""chosen_vendor_id"": ""ep008_vendor_020"",
  ""chosen_items"": {
    ""buffalo_wings"": 2,
    ""garlic_naan"": 1,
    ""pad_thai"": 1
  },
  ""reasoning"": ""Priority is speed, and ep008_vendor_020 is tied for the fastest ETA at 15 minutes while also having a higher rating, lower required total, and lower fees than the other 15-minute offer."",
  ""factors"": {
    ""priority_hint"": ""fast"",
    ""required_total_usd"": 39.98,
    ""eta_min"": 15,
    ""rating"": 4.45,
    ""delivery_fee_usd"": 2.1,
    ""service_fee_pct"": 0.94
  }
}"
episode_009,dominated,rating,ep009_vendor_002,CityHub002,False,True,True,68.62,"Priority is reliability (rating), so I selected the highest-rated offer; ep009_vendor_002 has the top rating, and while ETA is longer, its total cost and fees remain reasonable for the strongest reliability signal.","[""priority_hint"", ""required_total_usd"", ""eta_min"", ""rating"", ""delivery_fee_usd"", ""service_fee_pct""]",0,0,0,,"{
  ""chosen_vendor_id"": ""ep009_vendor_002"",
  ""chosen_items"": {
    ""green_curry"": 2,
    ""chicken_sandwich"": 2,
    ""nachos"": 2
  },
  ""reasoning"": ""Priority is reliability (rating), so I selected the highest-rated offer; ep009_vendor_002 has the top rating, and while ETA is longer, its total cost and fees remain reasonable for the strongest reliability signal."",
  ""factors"": {
    ""priority_hint"": ""rating"",
    ""required_total_usd"": 77.5,
    ""eta_min"": 57,
    ""rating"": 4.89,
    ""delivery_fee_usd"": 6.11,
    ""service_fee_pct"": 4.04
  }
}"
episode_010,dominated,rating,ep010_vendor_028,FeastCart028,False,True,True,38.24,"The request prioritizes reliability (rating), and ep010_vendor_028 has the highest rating (4.9). While its ETA, total, and fees are not the lowest, they are acceptable tradeoffs for selecting the top-rated option.","[""priority_hint"", ""required_total_usd"", ""eta_min"", ""rating"", ""delivery_fee_usd"", ""service_fee_pct""]",0,0,0,,"{
  ""chosen_vendor_id"": ""ep010_vendor_028"",
  ""chosen_items"": {
    ""saag_paneer"": 1,
    ""fettuccine_alfredo"": 1,
    ""chana_masala"": 1
  },
  ""reasoning"": ""The request prioritizes reliability (rating), and ep010_vendor_028 has the highest rating (4.9). While its ETA, total, and fees are not the lowest, they are acceptable tradeoffs for selecting the top-rated option."",
  ""factors"": {
    ""priority_hint"": ""rating"",
    ""required_total_usd"": 50.54,
    ""eta_min"": 58,
    ""rating"": 4.9,
    ""delivery_fee_usd"": 8.73,
    ""service_fee_pct"": 9.34
  }
}"
